F1	#dependency_up||X--up||X--down||
F379	#dependency_up||NP_CNJ--up||NP_MOD--up||VNP--up||VNP--down||NP_MOD--down||
F1415	확정-@-NNG
F2884	기묘-@-NNG
F382	#dependency_군-@-NNG
F2569	#dependency_up||NP_MOD--up||NP_AJT--up||VP_MOD--up||NP_OBJ--up||VP--up||VP--down||NP_OBJ--down||NP--down||NP_MOD--down||NP--down||NP--down||NP--down||NP--down||
F2885	불상-@-NNG
F3246	#dependency_up||NP_AJT--down||VP_MOD--down||NP_AJT--down||NP--down||
F1417	#dependency_up||NP_OBJ--up||VP_OBJ--down||VP--down||NP_AJT--down||
F4424	#dependency_up||X--up||VP--down||NP_AJT--down||
F4425	#dependency_황제-@-NNG--대-@-NNB
F1604	신라_경순왕-@-NNP
F4426	#dependency_down||VP_MOD--down||NP_AJT--down||NP--down||NP--down||NP--down||
F68	#dependency_up||NP--up||NP--down||NP_MOD--down||
F2072	환관-@-NNG
F4427	#dependency_대웅-@-NNP--대웅-@-NNP--북평-@-NNP--리-@-NNG--고성-@-NNP--군_-@-NNP--경상남도-@-NNP
F69	출판-@-NNG
F1419	히트-@-NNG
F1420	모란-@-NNG
F1421	시-@-NNG
F2888	순천-@-NNP
F1422	올리베-@-NNP
F2889	#dependency_up||NP_AJT--up||VP--up||VP_MOD--up||NP_OBJ--up||VP--down||VP--down||VP--down||NP_AJT--down||
F1424	#dependency_up||NP_SBJ--up||VNP--down||NP--down||
F1425	#dependency_참가-@-NNG--오-@-VV
F70	나라-@-NNG
F71	연예-@-NNG
F72	생부-@-NNG
F2890	향하-@-VV
F2599	#dependency_트레이드-@-NNG--이적-@-NNG--그-@-NP--소속-@-NNG--소속-@-NNG
F73	대교-@-NNG
F4432	#dependency_up||NP_SBJ--up||VNP--down||VP_MOD--down||NP_OBJ--down||NP--down||
F1426	현장-@-NNG
F4434	#dependency_있-@-VA--이치카와미사토-@-NNP--_정-@-NNP--니시야쓰시로_군-@-NNP
F74	#dependency_에-@-VV
F4435	#dependency_고사-@-NNG--들어가-@-VV--대타-@-NNG
F1427	#dependency_결혼-@-NNG--낳-@-VV--건너가-@-VV
F2323	딸리-@-VV
F75	농구_-@-NNP
F2891	역임-@-NNG
F1428	넘기-@-VV
F2892	피콜로-@-NNG
F3295	#dependency_down||NP--down||NP_MOD--down||NP_MOD--down||
F3296	오이타_현-@-NNP
F76	#dependency_up||NP_CNJ--up||NP_AJT--up||VP--down||VP--down||NP_SBJ--down||
F4437	#dependency_up||NP_MOD--up||VNP--down||
F3887	붕어-@-NNG
F1429	성장-@-NNG
F77	#dependency_첩-@-NNG--되-@-VV--머무르-@-VV--목도-@-NNG--것-@-NNB--되-@-VV--중화-@-NNG--민국-@-NNP--의_-@-NNP--총통-@-NNG
F2895	#dependency_월-@-NNB--일-@-NNB
F1430	베스트-@-NNG
F4439	초등-@-NNG
F2897	#dependency_up||NP_AJT--up||VP--down||NP_CMP--down||VP_MOD--down||NP_OBJ--down||NP--down||
